"timestamp","subject","text"
"2025-06-12 11:24:48","기타",""
"2025-06-12 11:24:54","기타","1 택 하세요 i
iw

전체 화면 =

30"
"2025-06-12 11:25:01","Web Programming","mon
ror: Cannot access ""displayStream’ before mon
. ReferenceError: Cannot access mon
initialization
ure (monitor. js:55:23)
ror: Cannot access ""displayStream’ before mon"
"2025-06-12 11:25:10","Web Programming","= Rec ¥y 3c @ mp ® Co G
monitor.html
: £ EXEE 실 행 하세요.
디스플레이 ( 스
: \ 6. |
hE"
"2025-06-12 11:25:23","기타","부터 008 결 과 를 받으면 화면 업데이트
n('ocrResult’, data => {

ole.log( ‘OCR Result received: ', data);
ata-=:{ username, - timestamp, -ocrText, s
CR-EIAE

utput.textContent = ~[${data.username}
=

ectOutput.textContent = “£7: ${data.sL
| 워 드 ㆍ ( 배 열 쉼 표 ㆍ 연결)
Array.isArray(data.keywords) && 0363.16
keywordsOutput.textContent = ~7|¥E: ${
se {

i a  F- [ 고 F"
"2025-06-12 11:25:39","Deep Learning","& unt AE T@ X @ 240 | © i
0) DevTools is now available in Korean
Don't show again Always match Chrom
i [0 Elements Console Sources Netwc
BD @  topv | ® | Y Filter
© » Uncaught ReferenceError: socket is not def ir
at monitor. is:32:5

WebSocket connected
© » Uncaught ReferenceError: Cannot access ‘dis

initialization"
"2025-06-12 11:25:45","Web Programming","79 displayCanvas.height =
80

81 setInterval(() => i
82 videoCtx.drawImage (Vv
83 const webcamDataUrl
84 const webcamBase64 =
85

86 if (displayStream) {
87 const track = disp
88 const capture = ne
89 capture.grabFrame(
90 displayCtx.drawl
91 const screenData
92 const screenBase
93 screenShot.src =
94"
"2025-06-12 11:25:53","기타","Bre ¥ 3c @ xX @ cor 수 6
684a39e6-ea8c-8005-adad-9870af692cdc
ChatGPT o4-mini-high v
»
// 함수 선 언 5
function dis
// .-. 3Z
}"
"2025-06-12 11:26:00","Web Programming","</script>

<script src=""/monitor
</body>
</html>
+ 2 =="
"2025-06-12 11:26:14","기타","vent.data);
.gaze_duration}s\n® +
${ .blink_count}\n™ +
ce_detected}\n™ +
udying} ;
tion === ‘number’ && isFinite .gaze
aze_duration) ;
> 60) gazeHistory.shift();"
"2025-06-12 11:26:30","기타","a.gaze_duration)) {"
"2025-06-12 11:26:37","Deep Learning","tContent = 키워드: ${data.keywords.joir
tContent = ' 키 워드: 매 칭 된 키워드 없음"";
111 쾌

.splayCapture() {

ait navigator.mediaDevices.getDisplayMe
~ 플 레이 캡처 2F:"", err);"
"2025-06-12 11:26:44","Web Programming","un Terminal Help
coo <> planner.html <> login.htn
public > 15 monitorjs > ...
1 const video = 00640
2 const screenSho
3 const resultDiv
4 const graphCanv;
5 const graphCtx :
6
7 const ws = new |
8 let gazeHistory
9"
"2025-06-12 11:26:59","기타","‘monitor _ws');"
"2025-06-12 11:27:05","기타","택 하세요 =
wa
S
전체 화면 =
개
s0ck"
"2025-06-12 11:27:20","Algorithm","42 NWAV A

74

75 <div class=""flex-
76 <label>C|A E20
77 <img id=""screen
78 </div>

79 </div>

80

81 || <div id=""result"">£
82

83 <canvas id=""graph"">
84

85 <script>

86

87 </script>

88 <script src=""/monit"
"2025-06-12 11:27:31","Web Programming","collect_data
data
node_modules |
public [
= click_capture.exe
> index.html
> monitor.html
5 monitor.js
5 scripts :
# style.css :
tests ,
5 plans.testjs ‘
uploads
oo ;"
